,0,1,2,3,4,5,6,7,8,9,10,11
33,6018,Really?,Chandler,1,1,607,5,1,3,"0:17:08,986","0:17:09,529",607_5_train
34,1869,"Oh, it's so pretty. This must have cost him a fortune.",Phoebe,1,1,185,8,1,24,"00:09:01,290","00:09:07,420",185_8_train
35,873,Oo-oo!,Ross,4,1,81,2,6,19,"00:09:59,807","00:10:01,016",81_2_dev
36,1554,Well I’m peeking.  Oh my God!,Mr. Geller,1,2,158,7,9,1,"00:07:41,627","00:07:46,965",158_7_train
37,1784,"That sounds good. I'll call you- or you call me, whatever...",Chandler,0,0,180,1,1,20,"00:22:08,618","00:22:11,620",180_1_test
38,5151,"Wait—oh—hey—huh, oh great now he knows, and I don't know!",Ross,6,2,523,6,1,12,"00:09:54,969","00:09:57,804",523_6_train
39,1434,"Hey! Oh listen, I was just clearing some space for your stuff.",Ross,4,1,146,0,6,3,"00:12:00,928","00:12:03,304",146_0_test
40,8945,"Whoa! Whoa! Whoa! Treeger, what are you doing?",Joey,1,2,895,3,8,3,"0:07:50,553","0:07:52,985",895_3_train
41,6694,"Hey, it's not the first time I lost a girl to a cowboy spraying cologne.  Bijan for men?  Bijan for men?!",Joey,3,2,662,6,2,2,"00:07:28,573","00:07:34,411",662_6_train
42,4709,Eh,Chandler,0,0,478,11,6,24,"00:20:20,052","00:20:21,344",478_11_train
43,651,"Joel-burg, you maniac!",Doug,4,1,59,7,3,24,"00:21:10,644","00:21:12,853",59_7_train
44,1139,"No, I just I think that it’s too soon.",Monica,4,1,117,2,3,13,"00:02:29,732","00:02:31,567",117_2_train
45,1932,And how do I know?,Ross,0,0,192,1,8,7,"0:21:24,387","0:21:26,002",192_1_train
46,328,As in Barbara Streisand’s husband James Brolin?,Chandler,1,2,27,8,8,1,"00:01:52,195","00:01:55,072",27_8_dev
47,2309,"Hey, Pheebs?",Joey,0,0,227,0,5,1,"00:16:46,338","00:16:47,380",227_0_train
48,2647,"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice.",Chandler,3,2,262,3,1,5,"0:15:27,176","0:15:42,448",262_3_train
49,2006,I got in there myself once.,Joey,0,0,201,3,4,2,"0:13:43,664","0:13:45,846",201_3_test
50,912,"Okay, in about ten seconds you’re gonna see him kiss me.",Rachel,4,1,85,1,8,4,"00:18:14,468","00:18:17,053",85_1_dev
51,9349,Yeah?,Joey,0,0,933,19,6,12,"0:10:51,359","0:10:52,255",933_19_train
52,9808,Her name is Stephanie... something.,Terry,0,0,976,6,2,6,"0:05:17,150","0:05:19,662",976_6_train
53,7170,No!,Chandler,5,2,712,11,8,20,"0:03:20,748","0:03:21,028",712_11_train
54,4502,Oh my God! What does,Rachel,1,2,458,0,1,22,"00:07:03,548","00:07:06,174",458_0_train
55,5695,"Hey, Rach, can I borrow your eyelash curler, I think I lost mine.",Monica,0,0,574,0,5,5,"00:19:52,649","00:19:55,234",574_0_train
56,4426,I know.  I need more pie.,Monica,0,0,450,13,3,23,"00:14:24,196","00:14:27,866",450_13_train
57,9129,My God!,Ross,1,2,912,0,5,11,"0:09:06,170","0:09:07,142",912_0_train
58,6232,"No Joey! Look why don’t, why don’t we just let her decide? Okay? Hey-hey, we’ll",Ross,0,0,625,8,7,17,"00:11:20,971","00:11:30,438",625_8_train
59,8453,"I’m Rhonda,  and these aren’t real!",Tour Guide,0,0,844,16,4,11,"00:18:23,185","00:18:27,438",844_16_train
60,9935,"When they were all over you to go into your father's pipe-fitting business, did you cave?",Chandler,0,0,990,10,1,13,"00:13:47,535","00:13:51,412",990_10_train
61,704,"Oh, I’m sorry. Thank you Chandler.",Joey,4,1,67,4,6,19,"00:02:10,839","00:02:14,299",67_4_dev
62,10198,Right?,Ross,6,2,1016,1,3,17,"0:14:46,904","0:14:48,906",1016_1_train
63,1006,"First of all, it's on your ass.",Dr. Rhodes,0,0,101,0,6,23,"00:05:55,897","00:05:58,190",101_0_train
64,2007,I can’t believe it.  Can I tell you something? I’m a little mad at him now.,Ross,6,2,200,4,6,23,"00:13:50,871","00:13:57,919",200_4_train
65,7594,"Alright, now I will let go if you both stop.",Phoebe,0,0,761,6,2,13,"00:11:15,424","00:11:19,219",761_6_train
66,6731,"No, I’m sorry.",Dr. Zane,0,0,665,16,4,12,"00:06:58,251","00:06:59,668",665_16_train
67,6630,I can't believe my parents are actually pressuring me to find one of you people.,Monica,1,2,658,10,1,20,"00:02:07,627","00:02:11,839",658_10_train
68,2004,No! He blew us off!,Joey,6,2,200,1,6,23,"0:13:46,826","0:13:48,638",200_1_train
69,502,"Oh, seriously you want him?",Chandler,1,1,47,11,2,6,"00:06:35,353","00:06:37,229",47_11_train
70,382,"You sick freak, who does that? I can't believe I had a crush on    you!",Kori,6,2,31,11,9,17,"00:22:59,825","00:23:04,120",31_11_dev
71,1009,"You can keep saying it, but it won't stop being true.",Susan,0,0,94,10,2,2,"00:13:52,414","00:13:55,375",94_10_dev
72,8770,What? Why?,Chandler,1,2,875,5,5,5,"0:07:50,180","0:07:51,700",875_5_train
73,627,"When the revolution comes, I will have to destroy you all.",Phoebe,0,0,59,3,5,20,"00:21:56,064","00:21:59,358",59_3_dev
74,2079,Really it’s nothing. I’m just,Rachel,3,2,208,5,8,24,"0:19:06,842","0:19:08,344",208_5_test
75,1246,"All right, so we weren’t",Rachel,0,0,127,4,6,17,"00:08:27,757","00:08:30,550",127_4_test
76,4032,"Looks good, uh?",Joey,3,2,412,4,4,2,"0:04:25,848","0:04:26,620",412_4_train
77,2683,"Well, y'know, monogamy can be a, uh, tricky concept. I mean, anthropologically speaking-",Ross,0,0,269,0,1,6,"00:07:19,063","00:07:24,860",269_0_test
78,1060,I mean you’d think he’d be worried about me not showing up at his club.,Rachel,3,2,109,7,4,14,"00:14:42,131","00:14:45,550",109_7_train
79,2564,Joseph Stalin. I think you'd remember that!,Joey,4,1,258,11,1,21,"0:03:55,985","0:04:00,377",258_11_test
80,1927,"Okay,  umm, why don’t, why don’t you all start to read, while I—",Ross,0,0,193,4,8,12,"00:17:51,070","00:17:55,990",193_4_test
81,2616,So what did you do today Pete?,Monica,0,0,262,14,3,21,"00:03:17,197","00:03:18,488",262_14_test
82,5567,Here we go! Here we go! Here we go!  How you doin’?,Joey,4,1,560,7,7,16,"00:20:30,646","00:20:39,111",560_7_train
83,1144,"Chandler, what kind of an idiot do you take me for?",Ross,4,1,118,3,6,6,"00:21:16,149","00:21:18,526",118_3_train
84,8276,"I’m sorry I’m late, did I miss anything?",Ross,0,0,832,1,4,10,"00:00:04,963","00:00:06,755",832_1_train
85,29,"Uhh, yes I did but there isn't. Okay, here we go.",Ross,3,2,2,2,5,16,"00:07:30,741","00:07:34,119",2_2_test
86,3264,"Well yeah, I lied before.",Phoebe,3,2,326,0,8,1,"00:20:55,587","00:20:58,130",326_0_train
87,8619,What?!,Phoebe,1,2,860,9,8,17,"0:13:45,825","0:13:46,507",860_9_train
88,2076,What’s the matter?,Joey,0,0,208,2,8,24,"0:19:02,713","0:19:04,135",208_2_test
89,9779,"All right. No, no, no, not a Richard thing, just put down the glass. And get out!",Phoebe,6,2,973,5,3,1,"00:12:50,853","00:12:56,065",973_5_train
90,6880,Storming out!,Rachel,6,2,676,12,5,5,"0:11:15,800","0:11:16,612",676_12_train
91,4958,"Umm, would you please excuse me for a moment?",Ross,0,0,505,4,7,2,"00:02:05,708","00:02:08,335",505_4_train
92,2794,So why don’t you quit?,Ross,0,0,279,8,4,4,"00:03:27,624","00:03:29,291",279_8_train
93,543,"Okay, maybe ask this guy.",Phoebe,0,0,50,3,6,22,"00:17:07,317","00:17:09,527",50_3_dev
94,3791,"No-no, I say-I say, I say we get back at him right on this couch.",Mark,0,0,380,0,6,10,"00:15:24,590","00:15:29,594",380_0_train
95,7491,"I mean come on, you remember what’s it’s like to be 19 and in love.",Rachel,0,0,747,18,7,18,"00:08:50,154","00:08:53,240",747_18_train
96,1440,"Well, let's just say the impressions you made in the butter left little to the imagination.",Chandler,5,2,148,6,1,12,"00:07:50,094","00:07:57,100",148_6_train
97,4569,"No I know, because to be a grandmother you have to be married and have children and I don’t have any of those things.",Rachel,3,2,464,18,7,14,"00:11:51,877","00:12:00,135",464_18_train
98,1448,"Come on, wussies!",Monica,6,2,147,6,1,12,"0:22:18,140","0:22:18,772",147_6_test
99,5284,For a walk.,Joey,0,0,532,1,9,12,"00:10:35,426","00:10:37,135",532_1_train
100,9017,Hey! Are those crab cakes?  Did I not tell ya to come straight to me when more crab cakes were ready?,Joey,4,1,902,2,7,14,"00:14:13,936","00:14:20,149",902_2_train
101,343,I'm sorry. I'm done. I'm done.,Rachel,0,0,34,4,5,23,"00:14:40,921","00:14:42,922",34_4_train
102,8745,"$200? Are you sure Pheebs? I mean, after what",Joey,1,2,873,4,5,4,"00:16:30,572","00:16:34,867",873_4_train
103,3692,"Uh,  wow, 700.",Joey,1,1,367,5,6,6,"0:13:57,086","0:13:58,638",367_5_train
104,283,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",Ross,0,0,26,13,5,18,"00:10:40,514","00:10:44,142",26_13_train
105,305,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",Monica,6,2,29,11,9,23,"00:09:16,722","00:09:26,356",29_11_train
106,1193,And the two times we went out were just plain awkward.,Pete,5,2,122,9,3,18,"00:07:20,064","00:07:26,111",122_9_train
107,2358,Don’t you have to use the bathroom?,Ginger,0,0,239,7,3,14,"00:04:32,272","00:04:35,357",239_7_test
108,3341,Okay.,Chandler,0,0,334,1,4,7,"00:10:03,185","00:10:04,185",334_1_train
109,5255,"So, just tell me the truth!",Phoebe,6,2,530,12,3,25,"00:19:31,420","00:19:33,629",530_12_train
110,2524,"Joey, get out of the fridge.",Ross,6,2,254,5,1,22,"0:21:56,732","0:21:58,109",254_5_test
111,57,You mind if I,Chandler,0,0,5,3,4,20,"0:14:50,347","0:14:50,769",5_3_test
112,2555,I don't allow porn at home so    this is like a vacation for him.,Janice,4,1,253,5,9,21,"00:17:46,398","00:17:50,777",253_5_train
113,3638,"Yeah, ‘cause that’s why you won’t get Isabella Rosselini, geography.",Rachel,0,0,361,14,3,5,"00:09:08,923","00:09:12,592",361_14_train
114,8844,No!,Phoebe,4,1,886,17,4,17,"0:14:04,552","0:14:06,014",886_17_train
115,1252,What?,Brenda,1,2,128,4,8,7,"0:18:13,759","0:18:14,373",128_4_test
116,9460,"Coffee sounds great.  Wait, so, so you live in Montreal?",Ross,0,0,942,7,4,10,"00:20:28,644","00:20:37,360",942_7_train
117,873,That's always fun to be.,Phoebe,4,1,95,8,5,15,"00:13:27,890","00:13:29,599",95_8_test
118,2163,"But hey, y'know if you don’t believe me, please, by my guest.",Monica,0,0,212,8,3,16,"00:08:00,605","00:08:04,858",212_8_train
119,153,"Oh, we have our babies.",Alice,4,1,13,21,5,3,"00:17:18,412","00:17:19,579",13_21_dev
120,8077,They look great! Does your boyfriend have the best taste or what?,Chandler,4,1,812,12,5,19,"00:21:48,682","00:21:52,893",812_12_train
121,2686,Yeah! C'mon!,All,4,1,269,3,1,6,"00:07:30,575","00:07:32,200",269_3_test
122,2264,What's goin' on?,Phoebe,0,0,230,5,2,1,"0:10:46,854","0:10:47,996",230_5_test
123,1629,How ‘bout I fix you two up?,Joey,4,1,165,17,4,7,"0:15:07,323","0:15:08,375",165_17_train
124,2294,"Oh, go on! You telling people about me?",Rachel,1,1,226,8,5,7,"00:19:04,726","00:19:07,937",226_8_train
125,10032,Check this out. Can I have this?,Joey,0,0,1000,3,2,3,"00:06:57,125","00:07:02,254",1000_3_train
126,1259,Okay.,Phoebe,0,0,128,8,8,14,"00:08:12,000","00:08:14,800",128_8_train
127,525,What?! You’re going out with her again!,Monica,1,2,49,15,6,18,"0:13:45,616","0:13:47,328",49_15_train
128,632,"I will! But not tonight. For dinner music, I thought we could listen to that tape you made me.",Monica,4,1,60,3,6,17,"00:17:36,180","00:17:42,560",60_3_dev
129,6971,Had the money in the wrong hand.,Chandler,0,0,685,1,7,10,"0:05:12,448","0:05:14,695",685_1_train
130,494,"Hey, is, is, is Chandler here?",Joey,0,0,46,2,3,8,"00:02:37,240","00:02:39,700",46_2_dev
131,1720,What musician?,Monica,1,1,174,7,9,19,"00:06:19,671","00:06:20,756",174_7_train
132,545,Okay?,Joey,0,0,50,12,6,21,"0:14:36,714","0:14:37,872",50_12_train
133,860,Hello! Who’s in there?,Charlton Heston,0,0,83,0,4,14,"00:15:41,941","00:15:44,984",83_0_train
134,1388,"Yeah, I'll make up a schedule and make sure you stick to it.",Ross,0,0,140,15,5,10,"00:06:29,764","00:06:33,892",140_15_test
135,5716,"Mrs., Mrs. Gobb?",Rachel,0,0,575,1,2,4,"00:18:29,817","00:18:31,317",575_1_train
136,4619,"Oh uh, I’m sorry.",Ross,0,0,472,1,6,23,"00:06:37,468","00:06:40,096",472_1_train
137,304,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,Monica,6,2,29,10,9,23,"00:09:09,924","00:09:16,555",29_10_train
138,1345,Hey!,Joey,0,0,137,1,7,11,"0:11:18,886","0:11:19,637",137_1_test
139,252,"All right, I'll give you this, Mr. Peanut is a better dresser.",Joey,0,0,21,0,1,20,"00:21:27,119","00:21:30,621",21_0_dev
140,1851,Kinda have a... a thing for the Days Of Our Life's people.,Joey,0,0,184,12,9,20,"00:06:23,120","00:06:26,290",184_12_train
141,1651,A beard and a moustache.,Ross,0,0,168,3,5,24,"00:05:52,393","00:05:54,478",168_3_train
142,5528,"Look, I understand if you came by to hit me, I deserve it.",Joey,3,2,556,2,8,16,"00:07:35,580","00:07:39,374",556_2_train
143,5889,"This doesn’t mean anything, does it?",Monica,2,2,595,6,6,1,"00:14:23,112","00:14:25,655",595_6_train
144,1864,I understand: who would cancel an actual date to go to a fake bachelor party?,Chandler,0,0,186,2,8,8,"00:07:34,829","00:07:38,498",186_2_test
145,7853,I can't believe you married him.,Joey/Drake,1,2,792,11,9,19,"00:10:00,058","00:10:03,353",792_11_train
146,1604,"Oh, I think I saw some in here.",Rachel,0,0,165,1,4,12,"00:21:20,696","00:21:22,863",165_1_test
147,2690,It’s actually going to be just family.,Monica,0,0,269,0,7,7,"00:12:17,737","00:12:20,905",269_0_train
148,7343,"Exactly. So you didn’t, didn’t mention anything to Issac right?",Ross,2,2,735,0,3,16,"00:08:34,764","00:08:37,974",735_0_train
149,1076,What?,Chandler,1,2,113,5,5,21,"00:11:45,955","00:11:47,372",113_5_test
150,1352,"Oh!  Sorry. Uh, I’ve got those plans with Phoebe, why?",Joey,0,0,137,8,7,11,"00:11:34,735","00:11:38,071",137_8_test
151,3067,"Oh yeah, I’d love that.",Ross,4,1,306,5,3,17,"00:13:11,332","00:13:13,583",306_5_train
152,1917,"Yeah, we look great together.",Joey,4,1,190,2,7,5,"00:21:32,165","00:21:35,751",190_2_train
153,1103,Say next Saturday?,Monica,0,0,105,6,8,4,"00:21:54,000","00:21:55,938",105_6_dev
154,2439,"Alright, I'm gonna go pick up a few things for the trip.",Monica,0,0,240,4,9,23,"00:03:57,862","00:04:00,113",240_4_train
155,176,Don’t look honey. Change the channel! Change the channel!,Chandler,5,2,17,4,3,7,"00:02:14,217","00:02:15,884",17_4_test
156,7364,Oh my God! What are you doing here?,Emily,1,1,736,1,4,17,"00:08:51,948","00:08:53,615",736_1_train
157,5042,"I'm just sayin' if dogs do experience jet lag, then, because of the whole um, seven dog years to one human year thing, then, when a dog flies from New York to Los Angeles, he doesn't just lose three hours, he loses like a week and a half.",Ross,0,0,510,0,1,14,"00:11:16,592","00:11:28,395",510_0_train
158,8951,Hurry up.,Mr. Treeger,3,2,895,9,8,3,"0:08:04,285","0:08:05,377",895_9_train
159,8134,I can’t tell you. It’s a secret.,Monica,0,0,819,4,7,4,"00:05:58,733","00:06:00,817",819_4_train
160,1158,You've been counting wrong.,Monica,0,0,119,11,5,17,"0:15:20,878","0:15:21,827",119_11_train
161,5421,"No, no, the actual cartoon character. Of course the balloon. It's all over the news. Right before he reached",Chandler,0,0,545,8,1,9,"00:13:46,909","00:13:56,709",545_8_train
162,3,Y'know what?,Rachel,0,0,0,2,3,19,"00:14:56,353","00:14:57,520",0_2_test
163,7796,Is there something wrong?,Janine,0,0,787,4,6,7,"00:17:16,201","00:17:17,368",787_4_train
164,2695,"Yes, I'm familiar with the concept. We can just look for it.",Susan,0,0,270,7,1,9,"00:05:13,313","00:05:20,402",270_7_test
165,6096,"Well, I mean what about friends of your grandmother’s? Wouldn’t they have the recipe?",Monica,0,0,613,2,7,3,"00:18:16,887","00:18:19,847",613_2_train
166,10288,Where are you going? The vicar won’t be home for hours.,Joey,4,1,1022,5,7,2,"00:07:32,618","00:07:35,454",1022_5_train
167,6305,"Yeah, so it turns out that it wasn’t the hair straightener that started the fire.",Joey,0,0,630,10,6,18,"00:12:12,982","00:12:14,899",630_10_train
168,10138,I see pizza!,Monica,4,1,1009,16,1,4,"00:15:22,713","00:15:23,755",1009_16_train
169,1587,I think the check in is that way.,Ross,0,0,162,0,5,24,"0:01:02,979","0:01:04,981",162_0_train
170,5647,"All right now remember, something this big and long is going to be difficult to manuver, fortunately I have a lot of experience in that area.",Joey,0,0,571,0,3,8,"00:20:26,850","00:20:33,814",571_0_train
171,8393,Totally.,Chandler,0,0,841,18,6,22,"0:21:11,787","0:21:13,237",841_18_train
172,9029,Come on! Speech!,All,4,1,902,14,7,14,"0:15:05,708","0:15:06,195",902_14_train
173,6931,"Well no, it was my fault so you should get the nice room.",Phoebe,0,0,680,7,6,18,"00:09:15,846","00:09:17,973",680_7_train
174,4335,"No, this is a loaner.",Lydia,0,0,444,2,1,23,"00:13:31,894","00:13:33,645",444_2_train
175,2688,"Uh, tiny!",Chandler,1,2,268,0,7,1,"00:12:11,439","00:12:13,314",268_0_train
176,3973,Phoebe!,Joey,4,1,406,1,5,2,"0:15:44,902","0:15:48,324",406_1_train
177,3894,Okay! When?!,Joey,6,2,395,2,7,6,"00:09:01,415","00:09:03,625",395_2_train
178,3138,The key’s stuck in the lock.,Chandler,0,0,313,1,6,1,"00:21:30,956","00:21:32,456",313_1_train
179,2560,Stalin...Stalin...do I know that name? It sounds familiar.,Joey,0,0,258,7,1,21,"00:03:30,418","00:03:35,714",258_7_test
180,4222,What are we gonna high five about at the stupid Central Park?,Phoebe,6,2,431,12,5,2,"00:14:56,854","00:14:59,731",431_12_train
181,3298,No Phoebe I am mad!,Monica,6,2,329,7,6,6,"0:13:33,854","0:13:35,106",329_7_train
182,751,"Ah, Paolo, this is Phoebe.",Rachel,0,0,76,17,1,7,"00:16:27,194","00:16:29,946",76_17_test
183,3799,My little sister Dina!,Joey,4,1,382,2,8,10,"0:06:27,012","0:06:29,954",382_2_train
184,191,"Uhh, the ball thing.",Joey,0,0,18,1,5,21,"0:05:09,642","0:05:11,603",18_1_train
185,6745,You guys got anything to eat? I just went down to Johnos for some chicken and it was closed!,Joey,1,2,666,2,5,7,"00:11:02,036","00:11:06,122",666_2_train
186,7162,Well do you want some help?,Ross,0,0,712,3,8,20,"00:03:04,339","00:03:05,673",712_3_train
187,6499,"Yes, thank you. You see, this is how normal people are supposed to react to drums.",Phoebe,0,0,648,4,7,10,"00:09:10,383","00:09:21,643",648_4_train
188,2763,Monica you really think I should try this phasing out thing?,Ross,0,0,279,14,6,4,"00:14:48,138","00:14:52,390",279_14_test
189,1223,"Hey, you guys! Look what I found in the giiiiiiift shop.  Get up! Get up! Get up!",Joey,4,1,124,11,5,6,"00:11:05,456","00:11:12,712",124_11_train
190,7946,"You're just gonna have to be brave, ok?",Monica,0,0,801,1,2,6,"0:10:10,985","0:10:13,117",801_1_train
191,2503,"A lot of things happened on that trip that we should never,  ever talk about.",Joey,0,0,252,16,4,1,"00:12:29,665","00:12:35,503",252_16_test
192,8209,"Thank you, Monica.",Phoebe,4,1,823,12,3,3,"00:16:44,670","00:16:45,920",823_12_train
193,437,"I’m sorry, but I just wrote the best dance song for your wedding. Check this out.",Phoebe,0,0,45,1,7,1,"00:10:16,115","00:10:20,160",45_1_test
194,9724,How can you let him talk to your crotch like that?,Phoebe,1,2,966,1,8,10,"00:01:55,198","00:01:59,201",966_1_train
195,4031,I’m reading your ad.,Ross,0,0,412,3,4,2,"00:04:24,347","00:04:25,430",412_3_train
196,6712,"Yeah, tell that to my Uncle Lenny.",Joey,0,0,664,6,3,15,"00:17:04,148","00:17:06,691",664_6_train
197,6425,"And Rachel shouldn’t have any problem with that. The only problem might be getting a little too friendly, if you know what I mean.",Joanna,0,0,640,14,4,9,"00:07:25,820","00:07:29,531",640_14_train
198,7074,How about we talk about this over dinner?,Phoebe,0,0,699,10,5,24,"00:17:29,048","00:17:31,758",699_10_train
199,7149,Set it down over there and then you can make a contribution!,Phoebe,6,2,707,11,5,10,"00:16:50,718","00:16:53,553",707_11_train
200,520,Okay.,Rachel,0,0,48,5,3,8,"00:06:22,090","00:06:23,090",48_5_dev
201,8939,It might be kinda cool.,Monica,4,1,893,16,7,16,"00:05:35,126","00:05:36,376",893_16_train
202,7352,"Aw, no problem dude. Y'know we got to look out for each other. We’re the same, you and me.",Issac,0,0,735,9,3,16,"00:09:14,053","00:09:18,557",735_9_train
203,3684,It's like a gift.,Phoebe,0,0,366,16,1,5,"00:20:30,312","00:20:32,355",366_16_train
204,330,"Well, alright, we already tried feeding her, changing her,  burping her, oh try this one!",Phoebe,3,2,33,0,9,2,"00:07:20,064","00:07:28,029",33_0_test
205,8346,"Yeah, can I help you with something?",Ursula,0,0,839,3,6,14,"00:16:39,123","00:16:41,040",839_3_train
206,24,"Oh well, no harm, no foul.",Estelle,0,0,2,5,6,4,"00:09:16,138","00:09:19,224",2_5_dev
207,1938,Do you want me to be afraid of you?,Chandler,0,0,195,4,6,7,"00:20:29,311","00:20:31,187",195_4_test
208,1062,What?,Phoebe,1,1,112,13,8,17,"00:18:31,026","00:18:33,027",112_13_test
209,9384,Because he’s in love with the British chippy!,Phoebe,3,2,936,15,4,23,"0:20:58,401","0:20:59,220",936_15_train
210,8367,"Ok, um,  we haven't known each other for that long a time, and, um, there are three things that you should know about me.",Phoebe,0,0,840,8,1,12,"00:13:16,420","00:13:24,177",840_8_train
211,4942,"Yes, I believe we can expect a call from the President any moment now.",Chandler,0,0,504,2,8,9,"00:21:14,815","00:21:19,527",504_2_train
212,10397,Chloe? Hi..,Ross,0,0,1030,0,3,16,"00:08:18,414","00:08:19,581",1030_0_train
213,10249,"""No we weren’t!""",Phoebe,6,2,1018,15,8,8,"0:17:09,332","0:17:09,844",1018_15_train
214,641,I’m checking out the restaurant with Pete.,Monica,0,0,61,4,3,21,"00:12:50,603","00:12:52,562",61_4_dev
215,1795,You're so pretty.,Rachel,4,1,181,1,3,3,"00:08:31,594","00:08:33,345",181_1_test
216,6006,"Oh, yeah, my firm represents the band.",Steve,0,0,606,6,2,5,"00:18:38,951","00:18:40,576",606_6_train
217,794,What is the worse part?,Monica,0,0,83,8,3,11,"00:09:58,180","00:10:01,600",83_8_test
218,6423,"Yes, that’s very good. Now a uh, big part of this job is cultivating personal relationships, especially with designers.",Mr. Posner,0,0,640,12,4,9,"00:07:13,182","00:07:22,941",640_12_train
219,5329,"Oh, you go out with him.",Rachel,0,0,536,12,4,2,"0:08:10,490","0:08:12,912",536_12_train
220,3328,Yeah.,Joey,0,0,332,10,8,1,"0:22:03,996","0:22:05,301",332_10_train
221,1230,Well that’s ambitious.,Emily,0,0,125,6,4,18,"00:02:53,715","00:02:55,924",125_6_train
222,9881,"All right, first thing we gotta do, damage control.",Estelle,0,0,985,1,6,4,"00:09:24,313","00:09:27,607",985_1_train
223,809,"And, ah, you know, your fooling around with her.",Chandler,4,1,76,6,3,1,"00:16:36,912","00:16:40,248",76_6_dev
